datetime,image,read_time,predict_time,objects,temperature
2022-04-24 10:08:40.719871,0000b4b26ef88376.jpg,0.907,73.321,8,42.236
2022-04-24 10:09:27.348971,000256419f7c57d8.jpg,0.327,42.871,4,42.774
2022-04-24 10:10:13.977221,00011aec5d7324f4.jpg,0.363,42.863,0,43.312
2022-04-24 10:11:00.496967,0000eb5027281f2a.jpg,0.356,42.75,0,43.312
2022-04-24 10:11:47.142570,000140f27cb00816.jpg,0.42,42.823,7,44.388
2022-04-24 10:12:33.690865,000156c75d1ef7b2.jpg,0.315,42.822,2,44.388
2022-04-24 10:13:20.407667,000037c2dd414b46.jpg,0.419,42.894,2,44.388
2022-04-24 10:14:06.960337,00004b19ca2c952f.jpg,0.315,42.832,2,44.926
2022-04-24 10:14:53.544952,00006bdb1eb5cd74.jpg,0.423,42.759,2,44.926
2022-04-24 10:15:40.208345,0002ab17a812c0d6.jpg,0.305,42.955,0,44.926
2022-04-24 10:16:26.921875,0000c4f95a9d5a54.jpg,0.47,42.831,7,44.926
2022-04-24 10:17:13.796862,00006b13c052138f.jpg,0.256,43.21,3,45.464
2022-04-24 10:18:00.432355,00003223e04e2e66.jpg,0.395,42.832,2,45.464
2022-04-24 10:18:47.034429,0001c43f78cd23e1.jpg,0.361,42.832,4,45.464
2022-04-24 10:19:33.624200,0000fcb8ed0ea243.jpg,0.35,42.827,2,45.464
2022-04-24 10:20:20.888689,00001bcc92282a38.jpg,0.343,43.484,0,46.54
2022-04-24 10:21:07.440021,0000608cc97a2b17.jpg,0.297,42.848,3,46.54
2022-04-24 10:21:53.934234,00003e2837c7b728.jpg,0.318,42.765,2,46.54
2022-04-24 10:22:40.485112,000265efe8492bd9.jpg,0.298,42.849,0,46.54
2022-04-24 10:23:27.085575,000132a014faadaf.jpg,0.353,42.83,9,46.54
2022-04-24 10:24:13.723163,000191087c2c9533.jpg,0.396,42.83,0,46.54
2022-04-24 10:25:00.211458,00010d873e81c61e.jpg,0.327,42.751,0,46.54
2022-04-24 10:25:46.748810,0000f53faa4d14c3.jpg,0.297,42.835,0,46.54
2022-04-24 10:26:33.301532,0002a1b8cc4b8f92.jpg,0.316,42.832,1,46.54
2022-04-24 10:27:19.914247,0001143bfa4f6ae7.jpg,0.367,42.843,0,46.54
2022-04-24 10:28:06.690318,0001fa6ab562fd2a.jpg,0.513,42.851,4,47.078
2022-04-24 10:28:58.083042,00009cadede2ed69.jpg,0.314,44.027,2,46.54
2022-04-24 10:29:47.778343,00008044f1bbfde7.jpg,0.762,45.518,3,47.078
2022-04-24 10:30:34.278544,0001d48938a45d49.jpg,0.245,42.847,3,47.078
2022-04-24 10:31:20.785103,000284a717e801dd.jpg,0.253,42.842,3,47.078
2022-04-24 10:32:07.304098,0000a90019e380dc.jpg,0.272,42.844,0,47.078
2022-04-24 10:32:53.844899,00026912315fd226.jpg,0.365,42.766,0,47.078
2022-04-24 10:33:40.470361,0000432bf1241812.jpg,0.384,42.833,1,47.078
2022-04-24 10:34:27.087642,0000bcb094764718.jpg,0.317,42.89,6,46.54
2022-04-24 10:35:13.752270,00010f041a2a6fa5.jpg,0.417,42.84,0,46.54
2022-04-24 10:36:00.235430,0002337b77943386.jpg,0.328,42.748,0,46.54
2022-04-24 10:36:46.851692,0001b46b0b82ee29.jpg,0.381,42.832,1,47.078
2022-04-24 10:37:33.560494,0000ce19115ae401.jpg,0.468,42.833,4,47.078
2022-04-24 10:38:20.215662,000101475b6bc944.jpg,0.384,42.862,0,46.54
2022-04-24 10:39:06.924320,00019bc020b24b32.jpg,0.443,42.855,0,46.54
2022-04-24 10:39:53.513216,00005e7429a94ad4.jpg,0.402,42.777,2,47.078
2022-04-24 10:40:40.049507,0001c626b9afb50c.jpg,0.277,42.847,0,47.078
2022-04-24 10:41:26.648808,0001e595b536c9ec.jpg,0.341,42.851,0,47.078
2022-04-24 10:42:13.164948,000067f3419a12fe.jpg,0.255,42.853,5,47.616
2022-04-24 10:42:59.589357,00025431f1dca713.jpg,0.264,42.752,0,47.616
2022-04-24 10:43:46.109987,00017614428567ff.jpg,0.286,42.829,0,47.078
2022-04-24 10:44:32.673284,00019ee392d03976.jpg,0.324,42.833,0,47.616
2022-04-24 10:45:19.235152,000266c1e4c17092.jpg,0.328,42.831,0,47.616
2022-04-24 10:46:05.936201,00018571f3c267da.jpg,0.475,42.821,2,47.616
2022-04-24 10:46:52.461957,000134de87dd044b.jpg,0.373,42.745,3,47.078

