datetime,image,read_time,predict_time,objects,temperature
2022-05-02 12:56:50.362215,0000b4b26ef88376.jpg,0.09,1.754,7,52.996
2022-05-02 12:56:52.178950,000256419f7c57d8.jpg,0.085,1.726,2,54.072
2022-05-02 12:56:54.002529,00011aec5d7324f4.jpg,0.096,1.722,1,55.686
2022-05-02 12:56:55.832523,0000eb5027281f2a.jpg,0.099,1.724,2,56.224
2022-05-02 12:56:57.682079,000140f27cb00816.jpg,0.118,1.725,2,57.3
2022-05-02 12:56:59.483097,000156c75d1ef7b2.jpg,0.071,1.722,6,56.762
2022-05-02 12:57:01.346874,000037c2dd414b46.jpg,0.109,1.749,0,57.3
2022-05-02 12:57:03.163013,00004b19ca2c952f.jpg,0.079,1.729,5,58.376
2022-05-02 12:57:05.018933,00006bdb1eb5cd74.jpg,0.121,1.728,1,57.838
2022-05-02 12:57:06.828287,0002ab17a812c0d6.jpg,0.074,1.729,1,58.914
2022-05-02 12:57:08.684978,0000c4f95a9d5a54.jpg,0.115,1.735,3,58.914
2022-05-02 12:57:10.496751,00006b13c052138f.jpg,0.071,1.733,1,58.914
2022-05-02 12:57:12.349579,00003223e04e2e66.jpg,0.115,1.732,1,58.376
2022-05-02 12:57:14.183202,0001c43f78cd23e1.jpg,0.095,1.732,1,59.452
2022-05-02 12:57:16.013055,0000fcb8ed0ea243.jpg,0.091,1.731,4,59.452
2022-05-02 12:57:17.833563,00001bcc92282a38.jpg,0.086,1.728,2,59.99
2022-05-02 12:57:19.636395,0000608cc97a2b17.jpg,0.068,1.727,4,59.452
2022-05-02 12:57:21.456089,00003e2837c7b728.jpg,0.079,1.733,4,59.452
2022-05-02 12:57:23.265562,000265efe8492bd9.jpg,0.069,1.733,1,59.99
2022-05-02 12:57:25.111523,000132a014faadaf.jpg,0.102,1.737,4,59.99
2022-05-02 12:57:26.947072,000191087c2c9533.jpg,0.101,1.729,1,59.99
2022-05-02 12:57:28.772328,00010d873e81c61e.jpg,0.082,1.737,1,59.99
2022-05-02 12:57:30.594176,0000f53faa4d14c3.jpg,0.084,1.732,1,60.528
2022-05-02 12:57:32.407400,0002a1b8cc4b8f92.jpg,0.076,1.731,1,60.528
2022-05-02 12:57:34.229088,0001143bfa4f6ae7.jpg,0.093,1.722,1,61.066
2022-05-02 12:57:36.096861,0001fa6ab562fd2a.jpg,0.133,1.727,4,60.528
2022-05-02 12:57:37.915281,00009cadede2ed69.jpg,0.087,1.725,2,60.528
2022-05-02 12:57:39.762362,00008044f1bbfde7.jpg,0.118,1.722,2,60.528
2022-05-02 12:57:41.556146,0001d48938a45d49.jpg,0.065,1.723,0,61.604
2022-05-02 12:57:43.359511,000284a717e801dd.jpg,0.074,1.723,1,60.528
2022-05-02 12:57:45.165301,0000a90019e380dc.jpg,0.075,1.725,2,60.528
2022-05-02 12:57:46.984272,00026912315fd226.jpg,0.089,1.724,0,61.604
2022-05-02 12:57:48.818459,0000432bf1241812.jpg,0.104,1.724,0,61.066
2022-05-02 12:57:50.648523,0000bcb094764718.jpg,0.101,1.722,5,61.066
2022-05-02 12:57:52.494712,00010f041a2a6fa5.jpg,0.117,1.723,1,61.604
2022-05-02 12:57:54.304406,0002337b77943386.jpg,0.079,1.724,1,61.066
2022-05-02 12:57:56.139744,0001b46b0b82ee29.jpg,0.107,1.722,2,61.604
2022-05-02 12:57:58.015283,0000ce19115ae401.jpg,0.147,1.722,1,61.604
2022-05-02 12:57:59.856474,000101475b6bc944.jpg,0.113,1.722,2,61.604
2022-05-02 12:58:01.721849,00019bc020b24b32.jpg,0.135,1.724,2,61.604
2022-05-02 12:58:03.559014,00005e7429a94ad4.jpg,0.107,1.724,1,60.528
2022-05-02 12:58:05.365364,0001c626b9afb50c.jpg,0.078,1.722,1,61.604
2022-05-02 12:58:07.184399,0001e595b536c9ec.jpg,0.088,1.724,1,61.604
2022-05-02 12:58:08.985030,000067f3419a12fe.jpg,0.072,1.722,4,61.604
2022-05-02 12:58:10.789609,00025431f1dca713.jpg,0.076,1.723,1,61.604
2022-05-02 12:58:12.599637,00017614428567ff.jpg,0.08,1.724,1,62.142
2022-05-02 12:58:14.416031,00019ee392d03976.jpg,0.085,1.725,0,61.604
2022-05-02 12:58:16.233763,000266c1e4c17092.jpg,0.084,1.728,1,61.604
2022-05-02 12:58:18.105136,00018571f3c267da.jpg,0.142,1.722,5,62.142
2022-05-02 12:58:19.944109,000134de87dd044b.jpg,0.107,1.725,6,61.604
