datetime,image,read_time,predict_time,objects,temperature
2022-05-02 13:58:02.450572,0000b4b26ef88376.jpg,0.077,4.702,41,55.148
2022-05-02 13:58:08.179536,000256419f7c57d8.jpg,0.083,4.563,91,56.224
2022-05-02 13:58:13.912055,00011aec5d7324f4.jpg,0.089,4.571,21,57.3
2022-05-02 13:58:19.645739,0000eb5027281f2a.jpg,0.099,4.563,8,58.376
2022-05-02 13:58:25.425053,000140f27cb00816.jpg,0.112,4.592,38,58.376
2022-05-02 13:58:31.165957,000156c75d1ef7b2.jpg,0.071,4.596,24,59.452
2022-05-02 13:58:36.972790,000037c2dd414b46.jpg,0.115,4.605,106,58.914
2022-05-02 13:58:42.734653,00004b19ca2c952f.jpg,0.072,4.61,54,59.452
2022-05-02 13:58:48.534100,00006bdb1eb5cd74.jpg,0.121,4.603,34,59.99
2022-05-02 13:58:54.277176,0002ab17a812c0d6.jpg,0.068,4.607,0,59.99
2022-05-02 13:59:00.034416,0000c4f95a9d5a54.jpg,0.114,4.568,25,59.99
2022-05-02 13:59:05.763055,00006b13c052138f.jpg,0.065,4.591,23,59.99
2022-05-02 13:59:11.517138,00003223e04e2e66.jpg,0.114,4.566,12,60.528
2022-05-02 13:59:17.276426,0001c43f78cd23e1.jpg,0.088,4.596,41,60.528
2022-05-02 13:59:23.040058,0000fcb8ed0ea243.jpg,0.091,4.598,16,60.528
2022-05-02 13:59:28.789799,00001bcc92282a38.jpg,0.079,4.601,2,60.528
2022-05-02 13:59:34.537714,0000608cc97a2b17.jpg,0.069,4.601,57,61.066
2022-05-02 13:59:40.283601,00003e2837c7b728.jpg,0.072,4.603,14,61.066
2022-05-02 13:59:46.023879,000265efe8492bd9.jpg,0.069,4.603,0,60.528
2022-05-02 13:59:51.814090,000132a014faadaf.jpg,0.103,4.605,88,60.528
2022-05-02 13:59:57.591434,000191087c2c9533.jpg,0.102,4.607,0,61.604
2022-05-02 14:00:03.427713,00010d873e81c61e.jpg,0.074,4.692,2,60.528
2022-05-02 14:00:09.173391,0000f53faa4d14c3.jpg,0.083,4.595,0,61.066
2022-05-02 14:00:14.879866,0002a1b8cc4b8f92.jpg,0.069,4.565,7,60.528
2022-05-02 14:00:20.638030,0001143bfa4f6ae7.jpg,0.093,4.597,0,61.066
2022-05-02 14:00:26.452229,0001fa6ab562fd2a.jpg,0.133,4.601,63,61.604
2022-05-02 14:00:32.205002,00009cadede2ed69.jpg,0.087,4.597,12,61.066
2022-05-02 14:00:37.996372,00008044f1bbfde7.jpg,0.119,4.595,57,61.066
2022-05-02 14:00:43.725693,0001d48938a45d49.jpg,0.058,4.602,10,61.604
2022-05-02 14:00:49.467544,000284a717e801dd.jpg,0.074,4.594,21,61.604
2022-05-02 14:00:55.209013,0000a90019e380dc.jpg,0.076,4.594,11,61.604
2022-05-02 14:01:00.954878,00026912315fd226.jpg,0.089,4.589,0,61.604
2022-05-02 14:01:06.686020,0000432bf1241812.jpg,0.097,4.565,5,61.066
2022-05-02 14:01:12.416647,0000bcb094764718.jpg,0.1,4.56,11,61.604
2022-05-02 14:01:18.159965,00010f041a2a6fa5.jpg,0.109,4.566,1,61.604
2022-05-02 14:01:23.871865,0002337b77943386.jpg,0.079,4.565,3,61.604
2022-05-02 14:01:29.605458,0001b46b0b82ee29.jpg,0.094,4.566,31,62.68
2022-05-02 14:01:35.389242,0000ce19115ae401.jpg,0.139,4.564,83,61.604
2022-05-02 14:01:41.131906,000101475b6bc944.jpg,0.107,4.567,2,61.604
2022-05-02 14:01:46.895840,00019bc020b24b32.jpg,0.122,4.568,31,61.604
2022-05-02 14:01:52.634378,00005e7429a94ad4.jpg,0.1,4.57,3,61.604
2022-05-02 14:01:58.363945,0001c626b9afb50c.jpg,0.066,4.592,8,62.142
2022-05-02 14:02:04.135708,0001e595b536c9ec.jpg,0.083,4.619,9,62.142
2022-05-02 14:02:09.872437,000067f3419a12fe.jpg,0.061,4.597,51,61.604
2022-05-02 14:02:15.611527,00025431f1dca713.jpg,0.071,4.598,0,62.68
2022-05-02 14:02:21.355439,00017614428567ff.jpg,0.077,4.596,0,62.68
2022-05-02 14:02:27.102992,00019ee392d03976.jpg,0.081,4.596,2,62.142
2022-05-02 14:02:32.857493,000266c1e4c17092.jpg,0.072,4.611,20,62.68
2022-05-02 14:02:38.660013,00018571f3c267da.jpg,0.135,4.591,32,62.68
2022-05-02 14:02:44.425273,000134de87dd044b.jpg,0.094,4.595,52,62.68
