datetime,image,read_time,predict_time,objects,temperature
2022-05-08 16:08:00.885023,0001d48938a45d49.jpg,0.096,15.905,10,57.996
2022-05-08 16:08:17.115383,00017614428567ff.jpg,0.108,15.226,6,61.224
2022-05-08 16:08:33.319304,000256419f7c57d8.jpg,0.116,15.178,116,62.3
2022-05-08 16:08:49.487910,0000fcb8ed0ea243.jpg,0.128,15.142,22,62.838
2022-05-08 16:09:05.750680,0000608cc97a2b17.jpg,0.103,15.249,93,63.914
2022-05-08 16:09:21.939026,0001143bfa4f6ae7.jpg,0.133,15.157,13,64.99
2022-05-08 16:09:38.155782,00003223e04e2e66.jpg,0.162,15.157,15,64.99
2022-05-08 16:09:54.337371,0002337b77943386.jpg,0.126,15.157,2,64.99
2022-05-08 16:10:10.496791,000265efe8492bd9.jpg,0.103,15.155,10,65.528
2022-05-08 16:10:26.644903,0002ab17a812c0d6.jpg,0.116,15.134,0,66.604
2022-05-08 16:10:42.806544,0000f53faa4d14c3.jpg,0.115,15.151,0,66.604
2022-05-08 16:10:58.972431,00026912315fd226.jpg,0.13,15.14,0,66.604
2022-05-08 16:11:15.138283,000067f3419a12fe.jpg,0.097,15.166,65,66.604
2022-05-08 16:11:31.297154,0001c626b9afb50c.jpg,0.107,15.147,14,66.604
2022-05-08 16:11:47.478416,00019ee392d03976.jpg,0.125,15.157,0,66.604
2022-05-08 16:12:03.687052,0000b4b26ef88376.jpg,0.137,15.158,91,67.142
2022-05-08 16:12:19.919260,00005e7429a94ad4.jpg,0.157,15.173,18,67.142
2022-05-08 16:12:36.089402,00006b13c052138f.jpg,0.098,15.165,64,67.68
2022-05-08 16:12:52.266541,00003e2837c7b728.jpg,0.122,15.153,36,67.142
2022-05-08 16:13:08.548758,0000c4f95a9d5a54.jpg,0.182,15.197,51,67.68
2022-05-08 16:13:24.730991,000266c1e4c17092.jpg,0.125,15.15,24,67.68
2022-05-08 16:13:40.898800,000284a717e801dd.jpg,0.099,15.157,67,68.756
2022-05-08 16:13:57.088075,000156c75d1ef7b2.jpg,0.109,15.174,66,69.294
2022-05-08 16:14:13.294193,00001bcc92282a38.jpg,0.134,15.174,4,69.294
2022-05-08 16:14:29.484200,000191087c2c9533.jpg,0.144,15.149,4,69.832
2022-05-08 16:14:45.674387,0000eb5027281f2a.jpg,0.141,15.149,11,69.832
2022-05-08 16:15:01.908883,0000ce19115ae401.jpg,0.189,15.131,111,70.37
2022-05-08 16:15:18.065794,00009cadede2ed69.jpg,0.12,15.135,31,70.908
2022-05-08 16:15:34.302575,000140f27cb00816.jpg,0.17,15.153,117,70.908
2022-05-08 16:15:50.459961,0002a1b8cc4b8f92.jpg,0.111,15.144,30,70.37
2022-05-08 16:16:06.660393,0000432bf1241812.jpg,0.142,15.159,7,70.908
2022-05-08 16:16:22.882883,00019bc020b24b32.jpg,0.181,15.139,41,70.908
2022-05-08 16:16:39.057743,0001c43f78cd23e1.jpg,0.133,15.132,72,70.908
2022-05-08 16:16:55.207718,00025431f1dca713.jpg,0.1,15.148,8,70.908
2022-05-08 16:17:11.608970,0001fa6ab562fd2a.jpg,0.189,15.307,72,70.908
2022-05-08 16:17:27.863390,00018571f3c267da.jpg,0.193,15.157,70,71.446
2022-05-08 16:17:44.047395,00010d873e81c61e.jpg,0.126,15.16,12,71.446
2022-05-08 16:18:00.261501,000101475b6bc944.jpg,0.152,15.166,9,70.908
2022-05-08 16:18:16.469915,00004b19ca2c952f.jpg,0.121,15.182,79,71.446
2022-05-08 16:18:32.730185,000037c2dd414b46.jpg,0.154,15.176,238,71.984
2022-05-08 16:18:48.978461,00006bdb1eb5cd74.jpg,0.171,15.179,42,71.984
2022-05-08 16:19:05.169450,0001b46b0b82ee29.jpg,0.139,15.148,63,71.446
2022-05-08 16:19:21.403652,00010f041a2a6fa5.jpg,0.167,15.172,4,71.984
2022-05-08 16:19:37.581209,00011aec5d7324f4.jpg,0.133,15.138,63,71.446
2022-05-08 16:19:53.771967,000132a014faadaf.jpg,0.137,15.139,138,70.908
2022-05-08 16:20:09.987376,0000a90019e380dc.jpg,0.103,15.205,64,69.832
2022-05-08 16:20:26.149055,0001e595b536c9ec.jpg,0.123,15.138,27,68.756
2022-05-08 16:20:42.346422,000134de87dd044b.jpg,0.138,15.146,89,68.756
2022-05-08 16:20:58.603602,0000bcb094764718.jpg,0.127,15.231,36,68.756
2022-05-08 16:21:14.880979,00008044f1bbfde7.jpg,0.154,15.205,118,69.294
