datetime,image,read_time,predict_time,objects,temperature
2022-05-08 16:41:07.189261,0001d48938a45d49.jpg,0.096,7.174,10,55.844
2022-05-08 16:41:14.934271,00017614428567ff.jpg,0.11,6.772,2,56.92
2022-05-08 16:41:22.605600,000256419f7c57d8.jpg,0.114,6.68,91,57.996
2022-05-08 16:41:30.303784,0000fcb8ed0ea243.jpg,0.127,6.707,15,59.072
2022-05-08 16:41:37.952794,0000608cc97a2b17.jpg,0.103,6.67,62,59.61
2022-05-08 16:41:45.649841,0001143bfa4f6ae7.jpg,0.131,6.704,1,60.148
2022-05-08 16:41:53.352043,00003223e04e2e66.jpg,0.162,6.674,15,60.686
2022-05-08 16:42:01.044775,0002337b77943386.jpg,0.126,6.702,0,60.686
2022-05-08 16:42:08.681750,000265efe8492bd9.jpg,0.103,6.671,0,61.224
2022-05-08 16:42:16.380845,0002ab17a812c0d6.jpg,0.116,6.719,0,61.762
2022-05-08 16:42:24.033375,0000f53faa4d14c3.jpg,0.114,6.677,1,61.762
2022-05-08 16:42:31.732971,00026912315fd226.jpg,0.129,6.701,0,61.224
2022-05-08 16:42:39.380854,000067f3419a12fe.jpg,0.096,6.675,47,62.3
2022-05-08 16:42:47.060558,0001c626b9afb50c.jpg,0.107,6.708,7,61.224
2022-05-08 16:42:54.731211,00019ee392d03976.jpg,0.124,6.683,0,62.3
2022-05-08 16:43:02.412382,0000b4b26ef88376.jpg,0.135,6.672,60,62.3
2022-05-08 16:43:10.111825,00005e7429a94ad4.jpg,0.155,6.68,11,62.3
2022-05-08 16:43:17.751898,00006b13c052138f.jpg,0.098,6.671,54,62.3
2022-05-08 16:43:25.412765,00003e2837c7b728.jpg,0.121,6.671,17,62.838
2022-05-08 16:43:33.140343,0000c4f95a9d5a54.jpg,0.179,6.677,52,62.838
2022-05-08 16:43:40.802239,000266c1e4c17092.jpg,0.125,6.67,18,62.3
2022-05-08 16:43:48.440498,000284a717e801dd.jpg,0.098,6.668,52,62.3
2022-05-08 16:43:56.093462,000156c75d1ef7b2.jpg,0.109,6.673,51,62.838
2022-05-08 16:44:03.770945,00001bcc92282a38.jpg,0.131,6.681,2,62.838
2022-05-08 16:44:11.456454,000191087c2c9533.jpg,0.143,6.675,2,63.376
2022-05-08 16:44:19.145892,0000eb5027281f2a.jpg,0.141,6.672,4,63.376
2022-05-08 16:44:26.921898,0000ce19115ae401.jpg,0.188,6.714,75,62.838
2022-05-08 16:44:34.597245,00009cadede2ed69.jpg,0.119,6.678,26,63.376
2022-05-08 16:44:42.365006,000140f27cb00816.jpg,0.168,6.722,107,62.838
2022-05-08 16:44:50.018848,0002a1b8cc4b8f92.jpg,0.111,6.67,21,62.838
2022-05-08 16:44:57.725976,0000432bf1241812.jpg,0.14,6.703,9,62.838
2022-05-08 16:45:05.468993,00019bc020b24b32.jpg,0.18,6.695,29,63.914
2022-05-08 16:45:13.174823,0001c43f78cd23e1.jpg,0.132,6.701,63,62.838
2022-05-08 16:45:20.819385,00025431f1dca713.jpg,0.1,6.681,2,62.3
2022-05-08 16:45:28.585221,0001fa6ab562fd2a.jpg,0.186,6.702,79,62.838
2022-05-08 16:45:36.324530,00018571f3c267da.jpg,0.19,6.679,55,62.3
2022-05-08 16:45:44.026404,00010d873e81c61e.jpg,0.125,6.713,6,62.838
2022-05-08 16:45:51.714983,000101475b6bc944.jpg,0.152,6.671,8,62.838
2022-05-08 16:45:59.405419,00004b19ca2c952f.jpg,0.12,6.701,64,62.3
2022-05-08 16:46:07.152651,000037c2dd414b46.jpg,0.153,6.699,196,62.3
2022-05-08 16:46:14.902154,00006bdb1eb5cd74.jpg,0.17,6.706,47,63.376
2022-05-08 16:46:22.594885,0001b46b0b82ee29.jpg,0.139,6.678,49,62.838
2022-05-08 16:46:30.331410,00010f041a2a6fa5.jpg,0.166,6.705,0,62.838
2022-05-08 16:46:38.011540,00011aec5d7324f4.jpg,0.133,6.676,49,63.376
2022-05-08 16:46:45.723782,000132a014faadaf.jpg,0.136,6.695,119,63.376
2022-05-08 16:46:53.362673,0000a90019e380dc.jpg,0.103,6.668,39,63.376
2022-05-08 16:47:01.063729,0001e595b536c9ec.jpg,0.12,6.711,25,63.376
2022-05-08 16:47:08.744761,000134de87dd044b.jpg,0.138,6.673,61,63.376
2022-05-08 16:47:16.429446,0000bcb094764718.jpg,0.127,6.685,31,64.452
2022-05-08 16:47:24.132423,00008044f1bbfde7.jpg,0.153,6.672,102,63.914
